week_start_date,product_id,store_id,opening_stock,units_received,units_sold,closing_stock,stockout_flag
2024-01-01,BEV-001,STR-001,178,101,122,157,False
2024-01-01,BEV-002,STR-001,140,93,102,131,False
2024-01-01,BEV-003,STR-001,275,128,168,235,False
2024-01-01,BEV-004,STR-001,147,36,41,142,False
2024-01-01,BEV-005,STR-001,122,122,152,92,False
2024-01-01,BEV-006,STR-001,167,122,40,249,False
2024-01-01,BEV-007,STR-001,220,81,77,224,False
2024-01-01,BEV-008,STR-001,98,100,108,90,False
2024-01-01,BEV-009,STR-001,109,146,78,177,False
2024-01-01,BEV-010,STR-001,297,32,151,178,False
2024-01-01,BEV-011,STR-001,256,101,81,276,False
2024-01-01,BEV-012,STR-001,200,135,140,195,False
2024-01-01,BEV-013,STR-001,258,130,26,362,False
2024-01-01,BEV-014,STR-001,88,48,58,78,False
2024-01-01,BEV-015,STR-001,172,129,163,138,False
2024-01-01,BEV-016,STR-001,290,127,72,345,False
2024-01-01,BEV-017,STR-001,160,34,111,83,False
2024-01-01,BEV-018,STR-001,276,24,90,210,False
2024-01-01,BEV-019,STR-001,177,28,27,178,False
2024-01-01,BEV-020,STR-001,295,24,97,222,False
2024-01-01,BEV-001,STR-002,234,132,69,297,False
2024-01-01,BEV-002,STR-002,196,103,21,278,False
2024-01-01,BEV-003,STR-002,126,81,73,134,False
2024-01-01,BEV-004,STR-002,124,85,73,136,False
2024-01-01,BEV-005,STR-002,102,117,71,148,False
2024-01-01,BEV-006,STR-002,268,112,56,324,False
2024-01-01,BEV-007,STR-002,122,86,81,127,False
2024-01-01,BEV-008,STR-002,217,147,169,195,False
2024-01-01,BEV-009,STR-002,135,53,108,80,False
2024-01-01,BEV-010,STR-002,144,25,60,109,False
2024-01-01,BEV-011,STR-002,277,35,64,248,False
2024-01-01,BEV-012,STR-002,270,44,90,224,False
2024-01-01,BEV-013,STR-002,106,136,20,222,False
2024-01-01,BEV-014,STR-002,203,74,107,170,False
2024-01-01,BEV-015,STR-002,186,45,172,59,False
2024-01-01,BEV-016,STR-002,95,128,96,127,False
2024-01-01,BEV-017,STR-002,187,109,52,244,False
2024-01-01,BEV-018,STR-002,180,145,42,283,False
2024-01-01,BEV-019,STR-002,201,108,107,202,False
2024-01-01,BEV-020,STR-002,252,32,84,200,False
2024-01-01,BEV-001,STR-003,154,131,111,174,False
2024-01-01,BEV-002,STR-003,230,33,33,230,False
2024-01-01,BEV-003,STR-003,281,117,45,353,False
2024-01-01,BEV-004,STR-003,183,83,70,196,False
2024-01-01,BEV-005,STR-003,292,39,71,260,False
2024-01-01,BEV-006,STR-003,239,97,36,300,False
2024-01-01,BEV-007,STR-003,103,65,62,106,False
2024-01-01,BEV-008,STR-003,97,130,32,195,False
2024-01-01,BEV-009,STR-003,173,117,78,212,False
2024-01-01,BEV-010,STR-003,84,147,81,150,False
2024-01-01,BEV-011,STR-003,238,106,25,319,False
2024-01-01,BEV-012,STR-003,199,83,63,219,False
2024-01-01,BEV-013,STR-003,173,140,81,232,False
2024-01-01,BEV-014,STR-003,179,78,111,146,False
2024-01-01,BEV-015,STR-003,148,68,81,135,False
2024-01-01,BEV-016,STR-003,285,30,46,269,False
2024-01-01,BEV-017,STR-003,180,149,159,170,False
2024-01-01,BEV-018,STR-003,189,46,28,207,False
2024-01-01,BEV-019,STR-003,223,83,116,190,False
2024-01-01,BEV-020,STR-003,273,109,63,319,False
2024-01-01,BEV-001,STR-004,95,92,78,109,False
2024-01-01,BEV-002,STR-004,259,135,115,279,False
2024-01-01,BEV-003,STR-004,280,26,71,235,False
2024-01-01,BEV-004,STR-004,140,115,126,129,False
2024-01-01,BEV-005,STR-004,236,139,75,300,False
2024-01-01,BEV-006,STR-004,274,50,21,303,False
2024-01-01,BEV-007,STR-004,127,110,73,164,False
2024-01-01,BEV-008,STR-004,85,48,161,0,True
2024-01-01,BEV-009,STR-004,216,103,63,256,False
2024-01-01,BEV-010,STR-004,193,38,89,142,False
2024-01-01,BEV-011,STR-004,153,122,87,188,False
2024-01-01,BEV-012,STR-004,294,89,75,308,False
2024-01-01,BEV-013,STR-004,174,37,57,154,False
2024-01-01,BEV-014,STR-004,100,25,117,8,False
2024-01-01,BEV-015,STR-004,103,79,42,140,False
2024-01-01,BEV-016,STR-004,107,93,78,122,False
2024-01-01,BEV-017,STR-004,102,98,162,38,False
2024-01-01,BEV-018,STR-004,125,131,109,147,False
2024-01-01,BEV-019,STR-004,116,67,38,145,False
2024-01-01,BEV-020,STR-004,157,134,90,201,False
2024-01-01,BEV-001,STR-005,115,79,52,142,False
2024-01-01,BEV-002,STR-005,261,98,89,270,False
2024-01-01,BEV-003,STR-005,192,116,108,200,False
2024-01-01,BEV-004,STR-005,190,67,88,169,False
2024-01-01,BEV-005,STR-005,199,62,161,100,False
2024-01-01,BEV-006,STR-005,120,82,20,182,False
2024-01-01,BEV-007,STR-005,297,91,31,357,False
2024-01-01,BEV-008,STR-005,82,73,51,104,False
2024-01-01,BEV-009,STR-005,198,53,28,223,False
2024-01-01,BEV-010,STR-005,206,145,72,279,False
2024-01-01,BEV-011,STR-005,80,118,52,146,False
2024-01-01,BEV-012,STR-005,89,102,166,25,False
2024-01-01,BEV-013,STR-005,218,138,118,238,False
2024-01-01,BEV-014,STR-005,206,118,108,216,False
2024-01-01,BEV-015,STR-005,145,22,112,55,False
2024-01-01,BEV-016,STR-005,222,78,101,199,False
2024-01-01,BEV-017,STR-005,184,111,54,241,False
2024-01-01,BEV-018,STR-005,209,24,60,173,False
2024-01-01,BEV-019,STR-005,213,31,87,157,False
2024-01-01,BEV-020,STR-005,211,45,40,216,False
2024-01-01,BEV-001,STR-006,134,145,45,234,False
2024-01-01,BEV-002,STR-006,125,62,95,92,False
2024-01-01,BEV-003,STR-006,267,40,105,202,False
2024-01-01,BEV-004,STR-006,294,31,94,231,False
2024-01-01,BEV-005,STR-006,180,136,46,270,False
2024-01-01,BEV-006,STR-006,112,95,40,167,False
2024-01-01,BEV-007,STR-006,268,139,47,360,False
2024-01-01,BEV-008,STR-006,237,56,116,177,False
2024-01-01,BEV-009,STR-006,161,64,80,145,False
2024-01-01,BEV-010,STR-006,278,148,23,403,False
2024-01-01,BEV-011,STR-006,260,47,68,239,False
2024-01-01,BEV-012,STR-006,260,63,122,201,False
2024-01-01,BEV-013,STR-006,146,126,180,92,False
2024-01-01,BEV-014,STR-006,246,29,123,152,False
2024-01-01,BEV-015,STR-006,130,128,82,176,False
2024-01-01,BEV-016,STR-006,221,98,72,247,False
2024-01-01,BEV-017,STR-006,213,99,44,268,False
2024-01-01,BEV-018,STR-006,161,118,73,206,False
2024-01-01,BEV-019,STR-006,255,139,65,329,False
2024-01-01,BEV-020,STR-006,112,102,51,163,False
2024-01-01,BEV-001,STR-007,181,94,42,233,False
2024-01-01,BEV-002,STR-007,199,121,46,274,False
2024-01-01,BEV-003,STR-007,144,44,195,0,True
2024-01-01,BEV-004,STR-007,136,65,67,134,False
2024-01-01,BEV-005,STR-007,179,138,116,201,False
2024-01-01,BEV-006,STR-007,230,99,32,297,False
2024-01-01,BEV-007,STR-007,154,122,26,250,False
2024-01-01,BEV-008,STR-007,205,52,64,193,False
2024-01-01,BEV-009,STR-007,120,82,51,151,False
2024-01-01,BEV-010,STR-007,284,104,106,282,False
2024-01-01,BEV-011,STR-007,283,109,117,275,False
2024-01-01,BEV-012,STR-007,144,124,106,162,False
2024-01-01,BEV-013,STR-007,136,105,70,171,False
2024-01-01,BEV-014,STR-007,234,91,155,170,False
2024-01-01,BEV-015,STR-007,161,23,68,116,False
2024-01-01,BEV-016,STR-007,144,63,89,118,False
2024-01-01,BEV-017,STR-007,95,113,79,129,False
2024-01-01,BEV-018,STR-007,102,120,46,176,False
