week_start_date,product_id,store_id,region,units_sold,revenue,promotion_flag,promotion_type,discount_pct
2024-01-01,BEV-001,STR-001,East,122,3617.33,1,BOGO,0.23
2024-01-01,BEV-002,STR-001,East,102,8946.42,0,,0.0
2024-01-01,BEV-003,STR-001,East,168,12047.64,1,Price Cut,0.2
2024-01-01,BEV-004,STR-001,East,41,4135.26,0,,0.0
2024-01-01,BEV-005,STR-001,East,152,3063.69,1,Display Feature,0.1
2024-01-01,BEV-006,STR-001,East,40,3456.8,0,,0.0
2024-01-01,BEV-007,STR-001,East,77,8359.12,0,,0.0
2024-01-01,BEV-008,STR-001,East,108,4288.68,0,,0.0
2024-01-01,BEV-009,STR-001,East,78,7068.36,0,,0.0
2024-01-01,BEV-010,STR-001,East,151,10204.32,1,BOGO,0.11
2024-01-01,BEV-011,STR-001,East,81,8287.11,0,,0.0
2024-01-01,BEV-012,STR-001,East,140,3415.77,1,BOGO,0.17
2024-01-01,BEV-013,STR-001,East,26,2211.56,0,,0.0
2024-01-01,BEV-014,STR-001,East,58,1614.72,0,,0.0
2024-01-01,BEV-015,STR-001,East,163,7183.92,1,Bundle,0.25
2024-01-01,BEV-016,STR-001,East,72,3636.0,0,,0.0
2024-01-01,BEV-017,STR-001,East,111,5581.08,0,,0.0
2024-01-01,BEV-018,STR-001,East,90,10352.7,0,,0.0
2024-01-01,BEV-019,STR-001,East,27,1529.55,0,,0.0
2024-01-01,BEV-020,STR-001,East,97,3885.82,0,,0.0
2024-01-01,BEV-001,STR-002,North,69,2655.81,0,,0.0
2024-01-01,BEV-002,STR-002,North,21,1841.91,0,,0.0
2024-01-01,BEV-003,STR-002,North,73,6513.06,0,,0.0
2024-01-01,BEV-004,STR-002,North,73,7362.78,0,,0.0
2024-01-01,BEV-005,STR-002,North,71,1143.89,1,Price Cut,0.28
2024-01-01,BEV-006,STR-002,North,56,4216.19,1,BOGO,0.13
2024-01-01,BEV-007,STR-002,North,81,8793.36,0,,0.0
2024-01-01,BEV-008,STR-002,North,169,5514.79,1,Display Feature,0.18
2024-01-01,BEV-009,STR-002,North,108,9786.96,0,,0.0
2024-01-01,BEV-010,STR-002,North,60,4545.6,0,,0.0
2024-01-01,BEV-011,STR-002,North,64,6547.84,0,,0.0
2024-01-01,BEV-012,STR-002,North,90,2631.6,0,,0.0
2024-01-01,BEV-013,STR-002,North,20,1701.2,0,,0.0
2024-01-01,BEV-014,STR-002,North,107,2978.88,0,,0.0
2024-01-01,BEV-015,STR-002,North,172,7579.03,1,Bundle,0.25
2024-01-01,BEV-016,STR-002,North,96,3620.29,1,Display Feature,0.26
2024-01-01,BEV-017,STR-002,North,52,2614.56,0,,0.0
2024-01-01,BEV-018,STR-002,North,42,4831.26,0,,0.0
2024-01-01,BEV-019,STR-002,North,107,4814.53,1,Price Cut,0.21
2024-01-01,BEV-020,STR-002,North,84,3365.04,0,,0.0
2024-01-01,BEV-001,STR-003,East,111,3268.4,1,Display Feature,0.24
2024-01-01,BEV-002,STR-003,East,33,2894.43,0,,0.0
2024-01-01,BEV-003,STR-003,East,45,3694.61,1,Display Feature,0.08
2024-01-01,BEV-004,STR-003,East,70,7060.2,0,,0.0
2024-01-01,BEV-005,STR-003,East,71,1582.59,0,,0.0
2024-01-01,BEV-006,STR-003,East,36,2807.9,1,BOGO,0.11
2024-01-01,BEV-007,STR-003,East,62,6730.72,0,,0.0
2024-01-01,BEV-008,STR-003,East,32,1270.72,0,,0.0
2024-01-01,BEV-009,STR-003,East,78,7068.36,0,,0.0
2024-01-01,BEV-010,STR-003,East,81,4655.77,1,Bundle,0.25
2024-01-01,BEV-011,STR-003,East,25,2557.75,0,,0.0
2024-01-01,BEV-012,STR-003,East,63,1842.12,0,,0.0
2024-01-01,BEV-013,STR-003,East,81,6889.86,0,,0.0
2024-01-01,BEV-014,STR-003,East,111,3090.24,0,,0.0
2024-01-01,BEV-015,STR-003,East,81,4747.41,0,,0.0
2024-01-01,BEV-016,STR-003,East,46,2323.0,0,,0.0
2024-01-01,BEV-017,STR-003,East,159,7600.63,1,BOGO,0.05
2024-01-01,BEV-018,STR-003,East,28,3220.84,0,,0.0
2024-01-01,BEV-019,STR-003,East,116,6571.4,0,,0.0
2024-01-01,BEV-020,STR-003,East,63,2523.78,0,,0.0
2024-01-01,BEV-001,STR-004,East,78,3002.22,0,,0.0
2024-01-01,BEV-002,STR-004,East,115,10086.65,0,,0.0
2024-01-01,BEV-003,STR-004,East,71,6334.62,0,,0.0
2024-01-01,BEV-004,STR-004,East,126,11391.38,1,Bundle,0.11
2024-01-01,BEV-005,STR-004,East,75,1671.75,0,,0.0
2024-01-01,BEV-006,STR-004,East,21,1814.82,0,,0.0
2024-01-01,BEV-007,STR-004,East,73,7924.88,0,,0.0
2024-01-01,BEV-008,STR-004,East,161,5695.84,1,Display Feature,0.11
2024-01-01,BEV-009,STR-004,East,63,5709.06,0,,0.0
2024-01-01,BEV-010,STR-004,East,89,6742.64,0,,0.0
2024-01-01,BEV-011,STR-004,East,87,8900.97,0,,0.0
2024-01-01,BEV-012,STR-004,East,75,2193.0,0,,0.0
2024-01-01,BEV-013,STR-004,East,57,4848.42,0,,0.0
2024-01-01,BEV-014,STR-004,East,117,3257.28,0,,0.0
2024-01-01,BEV-015,STR-004,East,42,1853.47,1,Price Cut,0.25
2024-01-01,BEV-016,STR-004,East,78,3939.0,0,,0.0
2024-01-01,BEV-017,STR-004,East,162,7124.38,1,Price Cut,0.13
2024-01-01,BEV-018,STR-004,East,109,12538.27,0,,0.0
2024-01-01,BEV-019,STR-004,East,38,2152.7,0,,0.0
2024-01-01,BEV-020,STR-004,East,90,3605.4,0,,0.0
2024-01-01,BEV-001,STR-005,South,52,2001.48,0,,0.0
2024-01-01,BEV-002,STR-005,South,89,7201.65,1,Bundle,0.08
2024-01-01,BEV-003,STR-005,South,108,9635.76,0,,0.0
2024-01-01,BEV-004,STR-005,South,88,7908.28,1,Bundle,0.11
2024-01-01,BEV-005,STR-005,South,161,2953.72,1,Display Feature,0.18
2024-01-01,BEV-006,STR-005,South,20,1728.4,0,,0.0
2024-01-01,BEV-007,STR-005,South,31,3365.36,0,,0.0
2024-01-01,BEV-008,STR-005,South,51,2025.21,0,,0.0
2024-01-01,BEV-009,STR-005,South,28,2537.36,0,,0.0
2024-01-01,BEV-010,STR-005,South,72,4037.06,1,BOGO,0.27
2024-01-01,BEV-011,STR-005,South,52,5320.12,0,,0.0
2024-01-01,BEV-012,STR-005,South,166,3645.19,1,BOGO,0.25
2024-01-01,BEV-013,STR-005,South,118,10037.08,0,,0.0
2024-01-01,BEV-014,STR-005,South,108,3006.72,0,,0.0
2024-01-01,BEV-015,STR-005,South,112,6564.32,0,,0.0
2024-01-01,BEV-016,STR-005,South,101,5100.5,0,,0.0
2024-01-01,BEV-017,STR-005,South,54,2715.12,0,,0.0
2024-01-01,BEV-018,STR-005,South,60,6901.8,0,,0.0
2024-01-01,BEV-019,STR-005,South,87,4928.55,0,,0.0
2024-01-01,BEV-020,STR-005,South,40,1602.4,0,,0.0
2024-01-01,BEV-001,STR-006,West,45,1393.89,1,Display Feature,0.21
2024-01-01,BEV-002,STR-006,West,95,8332.45,0,,0.0
2024-01-01,BEV-003,STR-006,West,105,9368.1,0,,0.0
2024-01-01,BEV-004,STR-006,West,94,8084.19,1,Price Cut,0.15
2024-01-01,BEV-005,STR-006,West,46,1025.34,0,,0.0
2024-01-01,BEV-006,STR-006,West,40,3456.8,0,,0.0
2024-01-01,BEV-007,STR-006,West,47,5102.32,0,,0.0
2024-01-01,BEV-008,STR-006,West,116,4606.36,0,,0.0
2024-01-01,BEV-009,STR-006,West,80,7249.6,0,,0.0
2024-01-01,BEV-010,STR-006,West,23,1742.48,0,,0.0
2024-01-01,BEV-011,STR-006,West,68,6957.08,0,,0.0
2024-01-01,BEV-012,STR-006,West,122,2537.87,1,Bundle,0.29
2024-01-01,BEV-013,STR-006,West,180,10914.15,1,Price Cut,0.29
2024-01-01,BEV-014,STR-006,West,123,2437.43,1,Bundle,0.29
2024-01-01,BEV-015,STR-006,West,82,4806.02,0,,0.0
2024-01-01,BEV-016,STR-006,West,72,3178.74,1,Bundle,0.13
2024-01-01,BEV-017,STR-006,West,44,2212.32,0,,0.0
2024-01-01,BEV-018,STR-006,West,73,8397.19,0,,0.0
2024-01-01,BEV-019,STR-006,West,65,3682.25,0,,0.0
2024-01-01,BEV-020,STR-006,West,51,2043.06,0,,0.0
2024-01-01,BEV-001,STR-007,West,42,1616.58,0,,0.0
2024-01-01,BEV-002,STR-007,West,46,4034.66,0,,0.0
2024-01-01,BEV-003,STR-007,West,195,13591.21,1,Display Feature,0.22
2024-01-01,BEV-004,STR-007,West,67,6757.62,0,,0.0
